"cd3cd28icam2_aktinhib.Raf","cd3cd28icam2_aktinhib.Mek","cd3cd28icam2_aktinhib.Plcg","cd3cd28icam2_aktinhib.PIP2","cd3cd28icam2_aktinhib.PIP3","cd3cd28icam2_aktinhib.Erk","cd3cd28icam2_aktinhib.Akt","cd3cd28icam2_aktinhib.PKA","cd3cd28icam2_aktinhib.PKC","cd3cd28icam2_aktinhib.P38","cd3cd28icam2_aktinhib.Jnk"
75.7,16.8,45.7,50.9,25.9,61,106,906,4.41,17.8,31.3
42.2,20.2,6.04,5.78,1.45,1,3.46,12,4.83,17.8,25
13.3,17.9,7.23,6.1,5.88,33.1,55.7,626,4.57,10.2,40
75,46.6,6.44,10.5,8.51,61,93.1,982,4.78,13.3,39.2
30.2,18.8,7.04,143,32.2,71.7,118,1275,8.43,24.1,62.6
63.2,50.9,14.5,11.9,3.68,38.9,71,1640,10.6,24.4,67.3
213,145,5.42,8.2,19.3,79.1,139,1811,6.1,28.6,48.3
45.3,36.8,3.75,730,106,24.1,43.3,400,5.28,14.9,85.8
55.7,39.2,2.86,16.1,13.1,77.7,167,2666,2.39,14.2,44.5
45.7,8.35,9.82,316,118,42.9,64.4,673,10.2,9.65,1.75
106,81.3,1,221,20.9,10.7,8.58,334,5.09,29.4,33.1
77,73,9.56,276,78.4,20.7,39.6,615,8.9,30,40.7
85.8,88.2,4.87,94.7,7.17,47.8,66.1,269,9.14,19.8,46.6
54.2,41.4,14.2,392,72.3,37.9,59.9,372,5.05,14.3,56.2
105,85.1,20,32.2,17.8,67.9,106,297,2.59,8.06,44.5
227,158,16.3,302,78.4,11,27.9,533,8.98,24.6,82
12.4,11,31.6,316,102,3.62,20.4,165,8.9,24.6,21.7
30,23.9,8.13,10.1,5.52,32.2,58.8,717,6.67,23.7,6.32
213,257,5.33,143,8.74,45.3,106,1625,6.98,10.2,38.2
34.9,22.1,1.46,505,92.2,34.6,73.7,2035,4.66,18.6,50
135,98.2,10.9,13.9,11.7,67.9,170,2207,4.96,35.2,57.3
102,82,2.33,389,85.8,42.9,75,1027,3.31,16.8,39.6
60.4,47.4,3.13,302,59.9,22.9,35.2,322,3.96,8.28,19.6
34,22.5,10.6,11.1,13.1,9.82,12.4,200,4.53,17,33.4
39.6,22.1,10.7,10,3.22,41.8,64.9,392,6.61,49.6,44.1
69.8,66.7,59.4,70.4,55.7,15.1,46.6,1165,14.3,51.4,17.9
109,14.2,8.74,308,55.7,58.3,84.3,661,1,10.7,3.55
33.7,28.1,2.69,302,87.4,52.3,100,1827,2.59,16.3,38.5
41,28.1,6.61,12.1,1,79.9,101,365,2.89,7.23,27.1
97.3,89.8,7.57,302,53.8,41.4,68.5,1263,4.57,17.3,63.2
32.2,23.9,1,429,117,20.4,34.3,322,3.79,17.8,32.2
118,71.7,4.07,286,47.8,35.9,57.3,264,8.28,14.6,33.1
62.6,51.9,37.2,21.1,16.3,81.3,129,874,7.3,18.1,67.3
138,86.6,5.57,9.65,9.65,95.6,267,2571,7.3,22.1,34
24.4,14.9,7.64,165,41.4,33.7,58.3,1346,6.32,20,23.9
135,186,6.32,237,52.3,16,34.6,313,7.3,22.3,43.7
61.5,24.8,28.1,429,114,26.9,44.5,281,2.94,14.9,16.8
33.1,17.8,12.6,13.1,17.6,85.1,195,3995,6.32,20.7,45.7
25,14.2,3.31,2.92,12.5,66.7,165,3460,10.3,18.1,47.4
40,43.7,1,302,53.8,40.7,62.1,445,9.31,33.7,99.1
42.2,23.7,5.99,200,46.6,27.1,48.7,253,5.94,7.91,25.5
114,120,5.09,346,61,13.6,42.9,638,8.51,27.4,46.1
75,61.5,4.53,302,41.8,45.3,56.2,368,7.91,31.9,49.6
74.3,67.3,9.39,24.4,1.54,61.5,75,313,7.57,17,42.6
32.5,33.7,5.14,4.96,1.95,25.7,50.5,491,6.32,27.1,63.2
151,99.1,2.25,567,86.6,21.3,48.3,519,4.33,20,36.8
44.1,34.9,13.6,271,79.1,32.2,63.8,965,10.9,29.7,55.7
30.5,24.6,10.4,13.3,5.33,20.7,43.3,359,4.49,20.4,50.9
32.5,30.5,6.61,15.5,4.87,26.9,42.6,337,4.22,21.9,50.5
40,19.3,11.8,362,38.5,24.8,47.4,372,1.91,10.2,28.4
68.5,81.3,10.6,7.37,7.77,38.5,49.6,368,1,35.2,2.46
83.5,77,4.7,146,23.9,16.1,88.2,1526,7.91,26.2,78.4
181,186,1,289,13.3,28.4,33.1,305,3.46,13.5,37.2
29.4,22.9,50.9,542,76.4,7.1,10.3,372,9.31,26.9,46.6
58.3,43.7,8.35,389,72.3,54.7,136,1877,7.91,30.2,29.4
84.3,61.5,34.9,16.1,61,24.8,49.6,355,2.62,17.9,47
98.2,139,8.2,28.4,17.3,17.2,32.2,372,4.03,22.5,25
69.2,48.3,108,143,91.4,94.7,189,2329,7.37,34.3,44.9
66.7,51.4,18.8,10.7,5.09,43.3,64.9,770,11.8,34.6,34.6
26.4,20.2,6.67,17.9,3.49,36.2,54.7,284,7.84,22.1,17.2
36.8,30,2.5,6.92,12,10.8,26.7,496,7.7,19.8,50.5
61.5,17.8,9.65,19.6,14.3,27.1,50.5,284,5.47,12,37.5
189,124,4.7,107,28.4,35.9,54.7,385,4.74,13.6,35.5
36.8,20.9,4.57,17,8.51,7.64,16.7,313,9.73,16.1,58.8
38.2,25.3,13.5,94.7,12.1,13,32.5,426,1.76,16.7,34.6
237,191,10.4,12.7,19.6,17.3,33.1,466,8.13,30.8,54.2
207,262,8.51,10.5,1,6.61,28.6,743,4.74,17.9,53.3
27.4,25,20.4,123,25.3,76.4,106,389,4.41,13,24.6
85.8,21.1,8.13,31.1,17.9,28.6,46.6,396,44.5,76.4,16.8
60.4,51.4,1.86,118,16.3,36.5,40,379,5.99,18.6,24.6
39.2,31.1,14.1,22.7,15.8,35.5,44.9,385,4.57,17.3,33.1
27.1,24.6,5.99,95.6,28.9,44.1,64.9,737,2.94,13.5,32.8
97.3,72.3,7.37,10.1,9.56,64.9,127,1165,4.53,11.8,44.9
119,85.8,4.45,11.3,15.5,9.14,36.5,392,7.3,11.1,66.7
235,176,10.6,30.8,25.5,43.7,75.7,1165,3.28,11.4,30
31.6,20.5,9.82,8.98,6.98,25.5,137,547,6.67,11.7,37.9
102,62.1,16.1,294,82,126,219,3960,4.22,13.9,37.9
99.1,67.3,1.58,392,40.7,11.3,47.8,784,6.85,27.4,59.9
44.9,24.1,10.6,68.5,51.4,26.9,35.5,319,9.22,25.3,46.6
213,150,16.1,168,26.9,18.6,32.2,316,8.66,16.8,31.6
160,126,7.7,99.1,22.9,52.3,85.8,1512,8.58,36.8,45.7
82.8,48.3,20.4,170,30,151,300,4532,10.1,35.2,104
36.5,16.7,1,193,38.5,47.4,108,1540,7.5,14.6,45.3
40,29.2,4.37,77.7,14.6,32.8,52.3,407,2.48,9.65,41
127,106,11.2,239,37.9,12.2,28.6,519,5.67,9.39,35.9
21.3,24.4,2.92,292,36.8,23.3,50,723,33.4,40.3,3.82
28.9,23.5,11,12.4,25.9,54.2,160,4142,2.13,23.7,6.49
33.1,22.7,8.98,16,21.3,99.1,225,2525,10.4,32.5,94.7
62.6,48.7,3.34,126,43.7,44.9,67.9,325,5.52,16.7,53.3
37.2,36.8,20,48.3,48.3,18.6,57.8,1230,7.04,22.3,34.9
61.5,40.7,6.55,328,67.3,40.3,75,457,10.6,11.3,40
51.9,42.9,69.8,225,125,43.3,75.7,1877,1.06,90.6,4.91
35.2,19.5,7.5,11.4,9.39,11.3,21.7,237,3.52,14.6,31.9
31.9,12.5,6.61,10.6,11.4,55.7,71,533,3.43,16.4,42.6
62.1,31.1,49.1,126,75.7,52.8,63.8,562,5.62,9.56,41.8
104,32.8,41.4,202,50,48.7,90.6,2288,9.56,19.5,46.1
107,135,12,191,47.8,392,523,2996,5.28,10.9,23.7
137,183,13.2,8.28,18.4,21.1,40.7,340,5.52,25.9,31.1
58.3,46.1,12.6,27.9,29.2,2.44,15.7,65.5,5.62,18.6,1.72
90.6,104,53.8,429,147,12.1,29.4,496,6.04,21.3,40.3
85.8,59.4,12.6,1.95,18.3,30,46.6,519,10.3,25.5,34.9
42.2,22.3,8.2,29.2,12.2,58.3,135,4179,5.28,10.6,34
43.7,34.6,5.99,20.4,10.3,21.7,45.7,882,6.61,23.5,32.2
35.2,16.8,9.65,308,58.3,40,51.9,292,5.38,24.1,44.1
25,16.5,7.77,6.1,7.77,13,25.3,538,13.7,30.2,55.2
67.3,56.7,2.67,11.8,9.39,20.2,36.5,547,2.86,18.1,47
157,125,7.57,117,26.2,22.3,44.1,457,3.85,8.43,18.9
47.4,33.1,7.64,10.3,9.22,25,37.9,331,8.98,19.8,42.2
35.9,25.3,4.07,407,61.5,7.23,36.8,500,3.75,27.4,37.9
44.5,30.5,8.98,7.91,1.54,24.8,32.5,567,9.65,26.7,42.6
35.2,25.7,4.22,92.2,10.5,26.7,40,400,7.91,15.7,49.1
120,164,2.64,63.8,5.62,58.8,120,2148,4,25.5,35.9
30,21.1,1.86,188,39.2,29.7,44.5,588,2.29,8.82,9.56
108,82,17.9,325,60.4,34.6,46.6,505,3.79,16.4,30.5
117,89.8,1.12,200,24.8,77,211,2642,9.65,31.1,101
66.1,77.7,1,104,2.69,6.38,16.3,750,6.1,31.1,50.9
170,119,26.7,368,108,59.4,90.6,496,10.5,28.1,58.8
104,109,4.37,89,9.56,12.6,34.9,704,12.3,43.3,62.1
21.9,16.5,8.82,52.3,4.29,38.5,60.4,445,4.96,23.9,29.7
99.1,71,11.8,8.82,6.92,45.7,73.7,704,7.64,30,64.4
31.9,20.4,23.5,21.7,14.5,42.9,59.9,542,6.44,41,72.3
38.2,19.6,7.57,13.7,8.35,38.9,52.3,573,7.23,11.9,43.3
2.41,1.72,9.06,93.1,17.5,24.8,56.2,874,8.06,25.3,46.6
89.8,85.1,2.86,151,6.32,26.9,52.8,453,7.43,20.2,42.9
153,85.1,31.3,274,111,31.3,48.7,1794,7.3,21.3,62.6
39.2,16,10.2,69.2,18.8,15.3,29.7,610,3.22,4.83,32.5
79.9,19.1,4,74.3,17.6,16.5,31.1,1433,7.17,27.4,66.1
126,135,6.26,83.5,11,26.2,42.6,466,14.2,31.1,5.42
122,183,6.79,62.1,20.5,82.8,209,2714,5.05,20.4,28.1
30.8,30.5,2.25,88.2,24.6,35.2,58.8,453,12.4,26.4,66.7
26.9,17.9,9.91,11.5,11.7,22.7,31.3,533,3.37,17.6,25.9
46.1,7.99,5.88,11.1,8.74,32.2,52.3,429,21.3,56.7,138
64.9,55.7,17.6,97.3,31.6,25.5,46.6,704,4.03,8.74,24.6
112,64.4,7.84,31.1,15.7,44.1,61.5,441,6.26,11.2,46.1
55.7,31.6,8.35,13.5,5.52,43.7,71.7,392,7.77,32.5,39.2
28.6,13,40,55.7,17.8,19.5,38.5,500,6.61,11.9,38.2
44.1,31.9,14.2,331,77,48.3,78.4,379,28.4,127,248
108,65.5,6.49,6.67,13.8,113,289,5674,16.4,27.4,11.3
66.1,49.6,3.52,13.8,18.3,15.5,38.5,437,7.04,25.5,46.6
27.1,21.3,5.62,75.7,23.5,93.9,188,2548,2.21,12.1,26.2
52.3,30.2,42.6,108,102,25.5,56.2,1155,5.42,10.5,59.4
27.6,25.7,4.53,47,9.91,90.6,186,3652,4.37,26.9,67.3
37.5,30.8,15.8,124,26.7,24.6,45.7,281,1.98,5.62,23.5
23.5,20.4,3,375,70.4,18.3,34.6,322,11.2,21.1,35.5
35.2,33.1,5.62,115,23.9,18.4,38.9,294,1.27,44.5,8.43
29.7,35.5,7.3,13.5,12.3,48.3,79.1,375,4.91,21.3,22.9
33.4,31.6,13.1,21.7,3.89,53.3,75,461,8.43,23.7,55.2
41.4,18.4,6.21,36.8,9.14,16.5,37.5,644,1.36,52.8,10.5
12.6,36.2,15,16.5,19.6,22.3,47.8,457,8.2,45.7,42.2
71.7,62.6,5.33,6.92,4.37,9.47,33.4,866,6.79,19.6,28.4
157,157,11.3,385,63.2,7.91,34.9,418,5.05,4.07,27.6
17,35.9,10.3,63.8,11.7,12,21.9,255,5.57,13.9,30
58.3,39.2,9.39,72.3,17.9,13.5,29.2,483,6.92,19.6,61
41.8,12.5,5.83,74.3,4.26,23.9,37.9,552,7.7,12.3,44.9
36.5,35.2,9.22,5.88,7.7,41.4,66.7,343,10.4,37.2,96.5
56.2,42.9,11.8,9.91,15.4,12,33.4,449,4.33,23.1,48.7
85.1,52.3,8.66,99.1,22.7,31.9,55.7,588,9.31,21.1,54.2
132,104,37.2,3.65,29.2,88.2,168,2788,9.65,13.8,25.9
93.1,105,45.3,108,18.4,10.1,21.7,355,6.44,17.9,63.2
38.9,20,4.03,48.7,22.9,39.2,57.3,355,7.17,30.8,56.7
42.9,22.7,10.8,133,31.1,29.7,72.3,1322,3.82,7.57,42.2
168,302,29.7,410,117,54.2,126,2129,5.78,37.2,53.8
33.4,17.9,1,414,67.3,20.2,36.2,514,10.7,18.9,51.9
61.5,41.8,19.6,31.3,11.9,15.4,43.3,1114,6.61,23.7,87.4
41.8,27.1,1,319,33.4,18.4,28.9,667,12.3,29.7,3.96
52.8,46.6,13.8,87.4,34.3,31.3,48.7,429,8.74,30.8,32.2
38.2,27.4,1.45,244,27.4,112,253,3460,5,18.9,51.9
146,118,8.28,12.5,9.06,58.3,111,1596,7.17,18.6,29.4
46.6,30.8,20.9,362,80.6,31.1,45.7,445,4.87,13.8,32.8
64.4,42.6,6.73,13.6,3.08,7.99,32.2,322,13.7,44.5,176
55.7,45.7,6.32,89.8,16.3,29.7,49.1,578,5.23,22.1,31.6
81.3,52.8,10.4,9.91,12.1,35.9,51.4,346,6.44,26.9,44.9
69.2,37.5,8.06,117,35.9,77.7,123,1275,8.35,35.5,104
37.5,19.8,4.91,396,40,24.6,44.1,573,3.49,25.3,18.9
32.5,25.5,8.2,9.06,1.6,87.4,213,2666,10.4,34.3,40.7
37.9,22.5,9.14,12.9,1.41,25.5,43.3,509,3,22.5,13.7
34.6,17,10.9,365,52.3,54.7,119,2091,6.67,28.4,28.6
101,69.2,2.05,311,52.3,23.7,37.5,426,7.23,30.8,57.3
30,15.8,82,198,67.3,43.7,56.7,422,9.56,23.5,38.2
33.4,28.1,1.42,302,40.7,11.2,31.1,514,7.77,12.4,27.6
138,231,1,149,27.4,18.3,47,1208,7.57,35.5,70.4
31.1,19.1,8.74,231,41.4,15.5,45.7,661,7.91,12.7,22.5
73.7,47,10.1,253,57.3,50.9,92.2,1685,1.27,33.4,5.05
36.2,21.1,5.83,6.1,15.5,27.9,44.9,382,9.91,38.9,112
53.3,19.6,2.13,385,69.8,28.1,39.2,362,3.82,24.1,48.7
33.7,27.4,3.05,16.1,28.9,19.8,103,1104,7.23,26.9,51.4
139,84.3,2.86,385,56.2,54.2,73,281,6.38,18.1,63.2
34.9,20,27.1,131,264,71,142,2167,5.99,22.1,50.5
31.6,14.3,15.8,18.1,6.79,28.9,45.7,487,6.73,26.4,42.6
37.2,27.9,44.1,42.9,30.8,26.2,29.2,509,8.9,20.9,32.5
97.3,26.4,10.6,12.1,6.79,8.2,25.5,730,6.61,20,28.9
73.7,90.6,2.76,445,59.4,12.7,27.6,407,5.28,15.1,39.6
47,30.8,4.96,71,9.31,19.6,61.5,1981,8.35,27.4,84.3
42.2,8.82,1.43,154,16.4,29.2,48.3,205,9.65,34.6,47
80.6,75,17.3,259,62.6,47,58.3,461,5.23,22.9,44.5
23.3,23.7,3.59,61,2.46,13.7,36.8,632,9.82,12.3,44.1
60.4,38.9,15.4,13.3,22.1,44.5,65.5,478,6.38,30,87.4
29.4,34.9,10.8,5.47,12.4,15.7,40.3,573,5.78,21.9,61.5
33.7,13.7,39.6,176,39.2,35.5,66.7,851,6.73,28.9,48.3
38.2,22.5,4.74,11.8,23.7,12.5,26.7,599,4.74,45.3,69.2
33.7,30,25.9,33.7,13.9,16.3,30.2,385,6.79,15.7,40.3
41,38.2,1.17,193,33.1,22.7,45.3,491,6.38,19.8,38.2
79.9,81.3,5.67,110,13.6,15,36.2,615,10.4,28.6,32.5
151,110,36.5,281,92.2,15.7,30,445,3.43,49.6,28.9
16.3,4.83,14.2,246,51.9,25,52.3,604,10.9,32.5,54.2
37.2,22.3,11.5,11.1,1,40.7,73,1446,11.1,15,8.43
71,64.9,13.5,19.3,11.3,28.1,74.3,1176,8.74,13.9,40
41.8,36.2,12.5,523,79.9,9.14,19.1,445,2.79,13.3,44.5
188,151,14.1,29.4,32.2,31.3,88.2,2943,7.23,15.7,53.3
56.2,48.3,10.2,8.35,9.65,31.6,52.8,626,5.09,20.4,31.6
40.7,30.5,10.6,9.06,4.91,49.1,100,1554,17.9,68.5,81.3
87.4,51.4,8.28,21.7,14.7,23.3,41.4,418,6.26,25.7,40.7
1.89,3.49,8.06,204,15.4,55.2,117,2017,11.4,25.5,47
38.5,18.3,7.43,161,34,7.91,20.9,604,5.28,33.1,78.4
35.9,22.1,8.43,42.9,13.8,30,38.9,1075,5,14.3,17
39.6,29.7,2.41,79.1,21.1,26.7,66.1,1486,5.14,26.7,35.2
40.7,35.2,2.84,175,28.4,119,267,4105,3.92,56.7,51.9
56.2,48.7,9.65,44.9,23.9,26.9,41.4,368,6.38,17,35.9
36.2,24.8,11.9,286,36.2,55.2,96.5,1625,8.82,17.9,31.1
124,104,5,44.5,13.8,78.4,196,2288,1,11.3,53.3
124,139,9.22,92.2,15.4,21.7,34.6,396,2.71,16.1,32.8
85.8,71.7,1.73,33.7,13.1,19.6,27.9,274,7.77,25.3,28.9
32.8,14.1,9.31,85.8,4.61,19.6,24.4,496,7.43,30.2,55.2
35.5,17.9,5.09,308,39.2,25.3,37.2,457,13.1,27.6,6.49
56.2,32.5,2.48,104,19.3,63.8,97.3,784,8.9,29.2,42.2
89.8,71,11.2,111,23.1,43.3,50.9,375,4.61,20.5,45.7
36.8,24.8,3.65,47,20.4,45.3,69.2,1104,3.82,10.9,53.8
89,77.7,2.62,158,35.2,46.6,135,1486,5.28,15.1,44.9
137,93.9,6.49,15.4,5.52,46.6,147,1433,36.5,83.5,145
27.1,16.3,31.1,289,76.4,50.5,127,2267,7.17,17.2,11.8
30.5,19.6,7.99,7.7,11.8,23.9,47.8,743,1,40.3,5.33
38.2,17.6,12.5,20,4.33,29.7,48.3,355,6.79,7.7,38.9
65.5,53.3,4.61,96.5,25.9,93.1,188,2247,17.5,50.5,96.5
41.8,24.6,1,470,43.3,51.9,66.1,698,9.06,22.5,31.3
106,90.6,35.5,39.6,38.9,11.9,54.7,483,9.31,29.7,61.5
36.8,44.1,8.98,10.5,13.2,24.4,48.7,528,8.82,25,64.9
53.8,54.2,2.84,67.3,11.2,44.9,94.7,2091,5.94,10.1,48.7
51.4,40.7,20.9,24.1,12.4,28.9,53.3,375,2.89,66.1,2.89
135,88.2,14.3,15.4,5.28,61.5,146,1981,12.4,23.5,31.6
63.2,51.4,7.64,325,49.6,20,40.3,410,1.08,15.4,14.9
23.7,22.9,7.77,66.1,6.67,126,178,594,1,79.1,4.29
82.8,48.7,4.78,132,27.9,22.3,57.3,973,8.06,23.7,47
54.7,43.7,2.86,35.5,22.3,32.8,42.6,621,7.37,23.7,6.21
45.3,17.8,10.1,461,86.6,100,271,3786,10.8,22.1,61.5
146,104,35.2,257,35.2,61.5,104,1027,10.1,28.9,52.3
38.5,8.13,3.65,167,31.6,31.6,49.6,552,2.89,17.6,12
81.3,57.8,15.8,453,62.1,57.8,160,2414,9.82,8.58,47.4
68.5,85.8,8.98,538,85.1,34.3,68.5,1230,8.82,25.5,42.6
71.7,44.9,5.42,41.4,15.8,13,33.4,890,6.61,17,37.5
109,85.8,8.51,10.9,4.49,42.2,65.5,274,2.27,16.4,6.85
30.2,39.6,7.57,259,82,50,64.9,418,7.77,21.9,54.7
33.1,22.9,8.58,8.06,14.6,56.2,131,1946,5.62,20,28.4
30.2,22.7,2.81,313,54.7,70.4,101,418,8.66,26.4,56.2
81.3,60.4,28.1,396,57.3,14.7,41,939,5.33,14.7,30.2
17,1.45,6.92,10,1.57,106,322,3106,9.14,15.7,57.3
20.4,29.7,6.15,58.8,9.65,46.1,108,1499,2.44,9.82,24.6
25.7,20.9,11.1,24.6,10.1,64.4,163,1860,6.98,41.8,37.5
25.7,16.8,12.5,37.5,12.3,20.7,49.6,1298,6.49,20.4,31.6
41.4,32.2,1,41.8,6.49,27.6,61.5,1762,6.04,24.6,57.8
31.3,20.2,5,37.5,6.38,62.6,113,1094,3.72,3.89,6.73
27.4,15.1,11.7,11,7.23,34.9,58.3,843,11.9,60.4,59.9
89.8,66.1,34,12.3,48.3,106,163,1877,3.89,39.6,1.95
138,97.3,3.85,227,33.7,46.6,65.5,457,8.13,22.7,43.3
92.2,50,25.9,34,14.7,271,453,2480,8.13,18.6,61.5
79.9,21.3,36.2,99.1,13.7,29.2,51.4,279,7.64,33.7,58.3
121,178,9.56,13.7,5.47,90.6,193,2996,4.53,29.2,10.2
123,105,50.5,61.5,35.5,79.9,117,483,1.78,37.2,2
109,121,1.24,188,22.1,75,124,1731,7.3,13.8,33.4
30.8,22.5,5.23,10.6,2.35,10.6,30.2,562,8.51,14.1,22.9
276,161,8.82,38.5,17.8,20.4,38.9,407,9.82,19.6,42.9
55.2,13.8,11,346,80.6,33.7,49.6,233,25.9,90.6,343
36.2,28.4,15.7,368,66.7,52.3,64.4,615,9.65,27.4,53.8
28.6,17.8,10.7,15.1,10.4,8.9,26.7,931,5.52,13.2,44.5
136,94.7,1.93,52.3,11.7,34.9,54.7,334,6.79,10.9,40
36.2,26.9,15.7,28.1,7.64,49.6,74.3,355,5.83,8.74,10.8
32.2,16.5,1.04,231,35.5,22.9,46.6,487,8.51,16.8,50.5
12.4,12.6,2.35,186,22.9,82.8,164,2167,3.65,14.6,95.6
217,155,14.5,19.3,7.7,40,58.8,372,17.9,46.6,72.3
85.8,96.5,26.7,478,150,9.91,50,453,7.57,10.1,29.7
42.9,27.9,4.7,106,13.2,32.5,53.3,355,9.31,11.5,32.5
53.8,43.7,11.7,18.9,13.3,10.8,29.2,542,5.47,13.7,28.9
30,16,10.7,274,79.1,31.1,65.5,806,5.23,18.4,52.3
33.7,24.4,7.1,7.37,9.56,40.7,61.5,466,9.31,22.3,66.1
25.9,18.3,51.4,53.3,32.2,41.8,56.2,453,6.55,19.6,38.9
106,89,36.8,33.4,25,34.3,51.4,500,7.84,21.9,47.8
60.4,48.3,5.47,365,61.5,26.9,45.3,359,7.57,23.5,34.6
31.6,19.5,15,21.5,18.1,75.7,90.6,389,8.2,28.9,71.7
85.1,62.6,2.02,163,24.6,89.8,141,457,13.6,35.5,72.3
62.6,46.1,8.66,219,32.5,5.23,4.61,175,7.57,29.4,50.9
97.3,133,10.1,9.82,11.8,44.1,63.2,305,9.73,18.6,71
36.2,24.1,1.72,146,10.2,19.6,42.9,505,10.5,18.4,9.31
89.8,25.5,12.5,313,58.8,34.6,67.9,1685,6.1,13.1,30.8
34.6,31.6,10.1,6.79,13.6,14.5,24.1,429,9.56,16.7,42.6
32.2,17.5,21.5,34.6,32.2,30.5,59.9,500,15,36.2,46.1
