"cd3cd28icam2_aktinhib.Raf","cd3cd28icam2_aktinhib.Mek","cd3cd28icam2_aktinhib.Plcg","cd3cd28icam2_aktinhib.PIP2","cd3cd28icam2_aktinhib.PIP3","cd3cd28icam2_aktinhib.Erk","cd3cd28icam2_aktinhib.Akt","cd3cd28icam2_aktinhib.PKA","cd3cd28icam2_aktinhib.PKC","cd3cd28icam2_aktinhib.P38","cd3cd28icam2_aktinhib.Jnk"
35.5,28.9,11,19.5,5.99,20.5,33.4,478,10.2,22.1,37.5
188,150,8.2,11.2,9.14,9.56,27.1,538,1,72.3,6.79
40.3,29.2,2.48,108,25,79.1,121,547,10.6,22.9,37.5
78.4,50.5,6.49,104,12.9,54.2,82.8,372,5.52,17,24.6
237,189,4.7,149,40.7,28.4,56.2,523,17.3,43.7,70.4
20,24.1,3.19,145,13.3,16.8,42.9,1084,9.47,20.2,45.7
40.7,26.9,19.3,284,74.3,38.2,59.9,594,3.89,21.7,30.2
47.4,43.7,8.58,13.6,8.74,15.1,38.2,655,1,37.2,1.79
36.2,30.8,1,150,18.6,16.4,32.5,500,6.44,16.1,22.3
36.8,50.5,4.33,164,28.4,17.9,29.7,500,10.6,14.3,30.2
31.6,15.7,1,241,13.5,28.1,47.8,461,9.65,14.6,9.82
30.8,24.6,4.61,12.6,8.28,35.9,53.3,418,5.33,28.6,47
57.3,42.9,9.73,8.28,4.83,37.5,56.7,533,2.11,31.1,56.2
33.1,21.5,20.7,30.5,20.2,130,259,4217,2.37,14.9,50.9
31.9,13,24.4,41.8,15.1,18.3,34.9,457,6.49,20.2,49.1
49.6,31.1,84.3,186,129,39.2,59.4,426,3.62,21.7,33.4
49.6,27.4,9.22,12.2,23.3,9.31,13.3,255,10.2,26.9,42.9
50.5,45.7,9.14,13.2,1.18,30.8,56.2,685,1,28.4,1.31
179,121,38.2,433,126,37.5,57.8,533,9.82,20.4,79.9
15.5,22.1,3.08,50,9.31,36.2,53.3,359,25.7,70.4,117
26.2,26.7,14.9,23.9,37.9,6.38,26.7,418,6.73,29.7,32.8
34,14.7,19.1,24.1,34,55.2,77.7,445,20,29.2,2.04
27.1,13.6,12.3,35.2,13.8,32.2,45.3,449,2.64,9.47,6.1
59.4,40.7,12.2,286,64.4,45.7,76.4,1009,10.4,25.7,40.3
34.6,18.6,6.38,65.5,10.7,47.8,61,445,21.9,120,146
58.3,50,6.21,319,64.4,47.4,71,389,7.57,32.8,46.6
32.8,31.6,8.98,90.6,1.35,15.4,22.9,806,8.06,18.4,43.7
44.1,31.6,3,93.1,22.1,26.2,47,457,6.32,11.8,42.9
68.5,51.9,9.82,15.8,5.62,17,42.2,461,9.47,22.7,37.5
30,17.6,2.04,233,24.6,8.35,28.6,626,6.21,16.3,40
58.8,38.9,2.05,129,21.5,132,316,3338,10.4,20.4,32.8
34,21.9,2.81,649,133,91.4,248,2839,8.66,31.9,44.1
132,52.8,10.6,241,36.8,25.3,36.2,343,4.18,23.5,37.5
31.9,17.3,13.1,15,10,30.2,45.3,449,16.4,34.3,114
46.1,28.6,2.17,183,23.1,40,88.2,2091,7.91,13.1,29.7
51.9,37.9,11.3,151,21.1,8.43,13.3,578,6.21,16.5,23.9
88.2,16.5,17.6,147,57.3,51.9,61,392,4.49,11.4,31.6
33.1,15,27.9,410,85.8,22.7,35.9,250,5.57,28.1,39.2
77,62.6,6.98,25.7,16,9.56,30.5,308,5.33,18.1,25
36.8,18.4,12.5,12.3,5.78,27.9,44.5,496,10.6,32.8,74.3
65.5,50.5,20.2,28.1,11,50.5,70.4,453,3.75,22.7,50
50.5,28.6,19.5,24.4,10.4,38.9,71.7,599,10,19.8,44.5
47,26.2,1,158,3.96,17.9,18.9,519,5.94,24.4,45.7
34,15.4,3.43,239,22.5,7.5,28.6,426,9.14,20.4,32.5
50,40,5.23,514,73.7,6.85,35.2,466,3.43,24.4,54.7
20.5,2.86,2.04,319,60.4,43.7,64.4,457,4.66,10.3,23.5
10.1,17.5,13.5,12.4,25.9,64.9,90.6,578,1,25.3,8.74
31.3,14.6,6.67,10.6,11.5,14.5,37.2,806,2.07,53.8,1.25
36.8,38.2,18.9,22.7,2.62,12.4,32.2,588,10,18.4,62.1
48.3,32.2,7.7,89,17,47.4,75,466,9.91,30.2,46.6
41.4,17.9,30.8,538,118,54.7,85.1,325,4.78,6.21,31.9
50,30.2,6.61,583,80.6,6.85,21.3,382,8.82,29.2,66.7
27.9,18.1,3.37,94.7,19.3,8.35,19.6,649,8.82,25.9,36.5
32.2,23.7,7.91,331,52.8,4.7,13.8,491,10.5,23.9,3.92
176,115,10.6,8.82,9.14,54.2,88.2,588,15.4,70.4,229
30,21.1,2.69,151,30.8,25.9,34.6,437,1.46,11.8,28.9
34.9,22.5,24.8,21.9,1.08,52.3,79.1,1055,6.15,8.74,24.6
30.5,25.3,21.3,25.3,28.6,50.9,82,346,2.15,30.8,3.82
28.6,16.8,1.43,184,24.1,37.9,75.7,1197,10.1,22.1,74.3
129,75,6.98,16,11.4,28.9,45.3,478,6.26,30.2,29.7
142,76.4,15.8,25.7,7.37,43.3,69.8,500,11.8,44.1,115
30,24.6,7.91,9.65,9.73,24.4,39.2,474,12.2,26.2,31.3
26.9,19.3,14.5,149,34,24.8,50.5,528,8.2,23.3,37.5
38.2,24.4,19.3,46.6,24.8,64.9,145,2996,7.57,27.9,35.2
31.9,17,2.64,147,42.6,30.2,53.3,509,7.1,25.9,54.2
41,22.1,10,121,25.7,48.3,88.2,1700,13.2,47.4,112
54.7,41,1,267,13.8,5.62,21.3,355,3.62,24.8,50.9
33.7,26.4,4.49,84.3,21.5,27.6,41.4,470,8.82,22.3,62.1
48.3,44.9,7.91,7.57,2.97,29.4,42.9,528,2.74,10.9,1.5
150,33.1,8.13,13.9,2.33,35.5,61.5,414,1.86,132,5.94
46.6,20,3.79,262,35.5,24.6,44.5,355,16.1,23.7,1
115,80.6,1,328,25,13,42.9,710,39.6,101,202
34.6,23.1,1.78,191,32.5,16.7,31.1,441,7.43,31.9,45.7
101,69.2,9.65,12.7,17.8,36.2,56.7,547,37.5,137,196
30.5,24.1,11.2,7.64,9.22,32.8,59.4,322,5.38,15.8,24.1
35.5,23.3,1.84,426,64.4,19.6,63.8,1252,7.43,20.4,23.9
101,98.2,12.5,7.57,17.8,28.4,50.5,835,4.45,15,27.4
62.1,38.2,9.39,237,48.7,24.1,37.5,466,9.06,27.1,53.8
37.2,24.6,6.04,83.5,16.7,9.31,25.3,284,4.57,19.3,32.5
48.7,50.9,13.1,46.1,10.5,20.5,27.9,578,9.31,25,30.8
33.4,15.3,24.6,29.4,10.3,9.39,25.3,737,3.75,27.4,40.3
35.9,25.5,1.58,151,15.5,11.8,32.2,679,23.3,117,505
119,84.3,29.4,483,163,25,38.2,379,64.9,241,392
28.1,17,1.83,191,24.8,28.9,45.7,461,7.84,22.5,3.22
59.9,58.3,5.28,52.3,9.14,22.1,46.1,487,10.7,24.4,85.1
29.2,14.2,11.5,111,36.5,5.67,35.5,300,6.79,15.1,47.8
28.1,19.5,36.5,176,58.3,47.8,72.3,300,11.1,37.9,83.5
18.4,16.8,7.37,12.3,14.3,27.9,45.3,403,7.57,13.3,46.6
51.4,34.6,19.3,16.5,6.92,18.1,29.4,328,7.3,19.3,59.4
36.5,22.1,12.6,95.6,47.8,6.32,24.1,362,6.85,25.9,74.3
35.9,17.8,9.39,10.6,2.97,47,59.4,403,6.73,23.5,43.7
41.4,32.5,8.13,15.8,6.44,23.5,44.5,474,9.47,20.4,46.1
31.9,23.7,20.4,97.3,31.9,21.7,36.5,453,10,30.2,68.5
29.7,12.7,15,7.77,17,18.8,50.5,528,7.37,22.1,21.5
33.4,21.1,1.73,204,30,58.3,95.6,491,23.7,60.4,95.6
31.6,26.9,1.63,294,28.9,20.5,35.9,389,6.73,21.5,34.6
26.2,16.1,36.2,19.1,46.1,17,31.3,372,6.55,35.9,49.1
28.9,12.6,21.3,32.2,32.8,24.1,30.5,313,7.7,36.5,34.9
25.3,23.9,68.5,346,100,37.5,66.1,1065,6.26,26.9,62.1
28.4,18.8,1,449,67.9,43.3,57.3,433,8.74,21.3,17.3
27.6,7.1,3.31,188,25.9,33.7,50.5,429,7.5,13.6,21.5
84.3,56.2,3.13,52.8,5.99,52.8,85.8,523,6.55,37.2,94.7
73,61,12.7,20.5,12.3,51.4,62.1,328,6.49,21.1,38.5
23.7,26.7,12.9,12.5,13.2,34,50,542,5.67,18.3,19.3
25.5,25,79.9,514,137,75,111,578,14.5,42.2,3.28
80.6,48.7,6.79,105,27.9,21.3,50,365,11,34.6,57.3
34.6,26.9,2.41,186,20.9,60.4,125,1611,7.3,19.5,38.5
51.9,39.2,8.82,14.5,15.1,6.21,9.22,165,25,78.4,276
21.3,19.6,19.3,292,84.3,31.3,44.5,410,5,20.5,32.8
63.2,42.2,24.6,379,93.9,18.3,38.2,466,35.2,98.2,286
30.5,20.9,36.5,52.3,20.9,17.2,39.6,375,16.1,31.3,8.51
45.7,30.2,27.4,17.9,33.7,34.6,62.6,1420,26.4,86.6,145
33.1,17,7.77,64.4,15,14.5,44.5,400,12.4,29.2,40.3
44.1,26.2,11.3,16.8,13.2,23.9,79.1,1540,14.9,48.7,92.2
188,132,21.1,267,39.2,21.3,42.9,284,6.98,22.1,33.4
30.8,25,15,9.56,13.7,38.5,56.7,267,5.67,21.7,34
34.9,34.3,8.06,297,77,33.7,47,461,3.68,20,37.5
149,90.6,3.46,170,31.1,5.78,34.9,403,8.13,18.4,30.5
92.2,67.3,15.5,237,64.9,16.4,37.9,407,1.18,8.35,29.2
36.2,17.6,10.4,5.05,5.42,46.1,78.4,461,7.1,18.1,31.9
22.1,24.1,9.56,8.51,3.13,14.9,41.8,828,8.82,25.5,42.9
77.7,50.9,17,22.1,45.7,24.1,44.5,500,5.23,26.9,25
34.6,31.9,7.1,264,37.5,22.1,77.7,2110,12.4,36.5,53.8
73.7,48.3,4.1,143,37.9,25,49.6,449,40.3,45.7,11.2
40,24.1,4.78,500,57.8,18.4,34.6,750,8.28,23.7,38.9
29.7,23.7,11.2,297,69.8,55.7,67.3,583,9.14,17.2,22.9
120,97.3,4.49,8.82,8.51,30.8,46.6,453,6.55,26.4,32.5
31.1,28.6,7.7,11.7,16.7,31.3,56.7,407,20.4,67.9,123
191,161,13.8,13.5,12.7,22.5,35.9,583,7.3,24.4,39.2
43.3,40.3,2.37,392,75,38.5,94.7,1275,9.47,19.8,29.7
36.8,19.3,46.1,346,149,22.7,46.1,500,7.99,23.7,38.5
27.6,33.4,9.22,17,10.7,16.8,24.4,437,1,54.2,3.28
66.1,50.9,41.4,11,51.4,12.4,27.1,340,2.97,20.9,32.2
62.6,35.2,15.5,274,49.1,12.3,28.4,474,45.3,89.8,16
34.9,17,15.5,26.2,11.4,25.3,46.1,331,5.73,15.5,33.1
20.4,23.9,8.13,60.4,8.74,22.1,35.5,407,11.9,40.7,62.1
114,84.3,3.28,175,40.7,136,311,4411,6.32,22.1,36.2
31.3,24.4,6.15,61.5,8.35,31.1,51.9,365,22.9,85.8,172
15.3,5.19,3.43,279,20.7,24.4,51.9,523,8.51,65.5,37.9
69.8,42.9,50,47.8,33.4,22.1,37.2,1000,6.21,16.5,37.2
30.8,22.9,7.37,34,10.9,38.9,64.4,1134,10.3,29.4,66.7
130,90.6,2.25,385,48.7,13,36.5,764,8.28,16.7,54.7
132,75,5.23,14.3,4.87,25.9,28.9,519,42.6,122,205
18.3,46.1,1.35,191,20,5.05,33.1,400,8.98,22.1,26.4
39.6,36.8,12.2,7.99,10.6,19.6,31.1,325,9.31,17.3,9.39
85.1,56.7,10.6,16.1,23.3,45.3,53.3,352,23.3,54.7,4.1
124,106,21.9,47.4,20,12.4,44.1,874,10.1,49.6,34.9
55.7,28.9,11,284,40.7,38.5,62.1,392,8.28,28.4,50.9
133,96.5,11.8,257,34.6,40.3,63.2,429,9.47,15,5.09
80.6,52.8,10,9.91,7.77,42.6,48.3,445,1.55,12,37.9
139,68.5,1,175,25.9,31.1,62.6,588,5.99,21.5,34.3
18.9,32.2,5.99,8.9,1.06,77.7,123,973,8.51,16.4,35.2
79.1,70.4,11.2,135,24.4,24.8,73.7,1009,12.6,40.7,50
67.9,79.9,1.91,108,22.5,25.5,49.6,813,15,41.4,42.2
29.2,24.8,14.3,15.7,7.3,30.2,44.5,352,13.9,82.8,106
63.2,34.3,1,153,16.3,26.7,48.3,461,5.52,21.5,26.2
26.4,28.1,8.13,10.6,13.8,6.92,38.9,239,1,42.6,3.19
69.2,52.8,7.43,297,74.3,34.9,69.2,874,10,24.8,23.5
39.2,26.2,25.9,500,145,5.23,20.2,297,7.99,23.9,12.7
108,97.3,21.3,17.2,15.8,11.3,29.7,487,7.5,31.9,33.7
15,16.1,30,281,85.1,28.4,49.1,599,11.7,36.8,55.7
106,66.1,24.1,209,60.4,40,79.9,2227,8.9,39.6,57.8
37.5,23.3,1,433,47.8,21.5,43.7,649,10.3,34.3,44.1
119,124,10.5,17.2,13,30.2,41,396,5.28,14.2,8.58
37.5,20.5,8.35,11.7,13.7,7.84,31.6,466,11.7,19.5,27.6
69.2,55.2,6.55,73.7,15.3,50,77.7,389,20.4,71.7,49.6
141,120,2.69,122,20.7,25.7,52.8,257,8.2,27.4,71.7
32.5,27.1,6.26,103,6.98,7.77,21.9,365,6.92,17.5,26.2
29.2,20.5,11.4,9.06,13.2,6.44,15.8,410,20.9,50,53.8
48.3,40,1.12,109,13.5,40.3,49.1,355,7.23,32.2,44.5
38.5,18.9,12.3,17.5,26.2,41.8,80.6,1731,9.47,11,25.9
237,153,3.85,164,17.9,15,57.3,578,4.03,17,44.1
30.5,9.91,11.9,18.4,7.17,45.7,80.6,1433,4.61,35.9,37.9
44.5,22.3,15.7,176,50.9,21.5,24.4,308,7.04,14.7,26.2
39.6,30.5,3.79,102,7.04,20,40.7,567,15.7,71.7,99.1
172,129,3.79,72.3,6.73,56.2,80.6,331,16.8,25.9,41
53.3,72.3,31.6,221,48.7,41.8,58.8,557,17.5,60.4,119
33.7,21.5,18.9,17.2,46.1,22.1,106,1762,9.47,16.4,28.1
75.7,61,1.63,124,15.4,60.4,133,2017,1,5.67,13
42.9,13.7,7.23,57.8,32.8,27.6,44.9,365,12.2,31.9,73
93.9,55.2,22.1,189,34.6,86.6,195,2308,5.28,20.9,24.4
40,37.2,14.6,111,26.4,10,26.7,730,1.27,22.1,41
87.4,47.4,6.44,13.1,7.57,24.8,37.9,346,10.1,19.8,44.5
157,34.3,6.21,30,12.7,22.1,36.5,509,11.5,36.8,64.9
24.8,20.7,7.99,133,27.4,36.8,66.1,667,7.91,16.8,33.7
26.9,23.5,5.23,73,5.14,33.4,54.2,279,4.45,33.1,42.2
173,141,9.39,6.55,15.8,47,158,1877,4.26,16.4,20.5
150,113,1,186,13.1,49.6,93.9,1685,10.3,14.5,28.9
39.6,27.4,11.7,11.3,10,17.2,51.9,1065,10.6,32.2,46.1
30,25.7,12.9,231,36.5,18.4,38.5,973,8.82,34,33.7
24.6,14.3,6.79,17.2,6.32,18.8,40.3,470,20.4,30.2,5.78
37.5,30.5,9.82,16.5,9.31,33.1,49.1,346,14.5,25,40
126,205,4.18,82.8,28.4,30.5,56.7,542,9.65,22.3,21.5
100,154,11.1,13.6,12.9,19.5,68.5,1655,13.6,32.8,50
32.2,18.9,10.6,6.73,15.8,29.4,52.8,418,6.67,449,6.55
32.5,27.6,50,300,108,58.3,62.6,302,7.37,10.3,35.9
77,58.3,25.9,25.9,25,28.4,82,1827,4.1,20.7,48.7
26.2,14.1,34.9,45.7,25,44.1,57.3,410,4.66,21.5,31.1
99.1,65.5,28.1,67.9,26.7,44.9,60.4,365,13.5,37.2,52.8
83.5,61.5,9.82,8.06,1,43.3,136,2072,5.73,29.4,25.7
40.7,30.2,1.03,29.2,17.5,21.3,31.9,331,5.73,46.1,44.9
127,77,8.2,18.3,6.73,29.2,60.4,474,28.9,83.5,213
33.1,31.3,1.05,59.4,20.2,31.6,58.8,991,6.61,25.5,29.7
117,87.4,1.7,93.1,22.5,66.7,89.8,433,9.14,16.3,36.8
29.7,28.4,3.75,155,14.1,28.9,56.7,372,6.1,16.7,31.6
57.8,31.3,24.8,25.9,11.2,34.9,45.7,325,5.14,23.9,31.6
119,97.3,4.41,403,62.1,55.2,117,1582,4.7,20.4,23.5
31.9,14.6,8.9,22.7,7.77,37.2,59.4,392,17.3,38.9,44.5
57.8,49.6,8.66,15,5.57,33.1,49.6,319,8.9,15.1,18.9
85.1,85.8,5.73,514,71.7,75,100,449,7.43,7.43,1.06
33.7,16.8,3.43,101,31.9,5.09,7.91,202,5.62,26.9,30
38.2,26.7,3.79,160,26.4,21.1,57.3,956,1,1.83,5.14
45.7,23.3,9.56,4.57,10,31.3,51.9,359,26.9,98.2,198
137,93.1,30.5,219,175,47.8,99.1,1715,6.21,26.7,47
161,111,7.43,59.4,9.65,16.8,28.4,437,6.26,15.8,22.1
47.8,30.5,3.49,112,6.26,25.5,40,346,26.7,109,168
38.9,34.3,40.7,35.9,35.2,36.5,87.4,1395,10.5,11,38.9
47,42.2,6.98,799,135,53.8,93.9,1486,11,35.9,51.4
25.9,14.2,5.09,340,48.3,56.2,79.1,457,6.21,22.3,28.9
71,64.4,19.3,274,71.7,22.1,49.1,1197,13.1,27.6,49.1
49.6,46.1,5.52,281,47.8,23.3,44.9,509,8.98,16.1,36.5
32.5,29.4,24.4,237,59.9,10.8,27.4,692,8.98,21.7,41.8
7.99,24.8,29.7,429,106,55.2,75,573,14.9,40.3,71.7
34.3,28.4,40,50.5,23.7,20.9,39.6,248,4.22,10.6,29.7
35.9,32.8,10.5,59.4,21.1,28.1,49.6,461,5.05,11.4,29.4
25.7,6.79,66.1,136,43.7,6.79,14.5,264,10,29.7,50.9
118,86.6,41,89,297,42.9,97.3,1298,4.87,13.5,17.9
40.7,23.3,25.9,491,114,42.6,55.7,599,9.31,24.1,34.3
26.4,26.7,10.7,17.6,4.49,24.4,35.9,500,9.82,48.7,94.7
93.1,120,13.8,433,72.3,130,267,2738,8.98,23.7,27.1
28.9,27.9,3.85,146,28.4,13.1,27.6,743,8.2,13.7,2.64
34.3,15.7,8.06,292,40,5.78,18.1,414,26.9,77,135
22.7,15.1,2.17,19.8,9.65,34.9,64.4,644,2.04,31.3,1.72
34,21.5,12.5,24.8,20,19.6,23.3,297,11.2,28.4,59.9
93.1,66.7,5.14,23.5,15.8,26.9,63.2,906,13.5,23.5,41
32.2,24.4,5.99,106,13,337,519,2035,6.67,12.2,26.7
44.1,32.2,10.1,441,69.2,79.1,219,1860,6.85,18.4,32.2
71.7,49.1,2.19,46.6,29.4,15.4,29.2,667,12.6,33.4,59.4
58.8,12.7,10.8,13.1,2.39,44.9,59.9,396,10.7,49.1,59.9
241,297,6.92,79.1,10.6,46.6,77.7,346,26.4,89,119
12.7,16.3,8.98,7.23,5.88,20,44.1,914,13.8,36.2,90.6
74.3,69.8,4.45,764,120,43.7,60.4,578,10.9,34.6,38.2
74.3,66.1,12.7,40.7,12.2,20.7,38.5,407,11.1,24.8,45.7
68.5,32.8,24.8,23.9,12.7,45.3,77,1104,5.19,22.9,47.8
10.4,5.57,8.43,385,98.2,68.5,141,1459,8.98,28.6,27.4
10.6,9.22,19.8,250,44.9,44.9,106,1625,9.91,37.2,82
47.8,32.2,45.7,213,58.3,42.6,86.6,1395,5.47,30.2,30.8
67.9,51.4,2.27,1.53,316,64.9,154,2813,10.6,47,62.1
47.8,27.6,1.86,127,12.5,37.2,61.5,457,4.53,20.7,30
35.2,21.1,1,132,29.7,47,66.1,355,30.5,61,104
18.3,23.3,6.15,27.9,10.8,41,67.3,346,7.43,43.3,41.4
41.8,35.5,14.6,8.51,11,19.3,25.9,302,6.04,24.1,41.4
64.9,37.2,4.53,372,67.3,56.7,113,1395,8.66,14.2,47.4
125,99.1,15.8,271,48.7,35.5,49.6,474,4.91,6.92,29.7
38.2,28.9,4.07,44.9,36.8,22.9,75.7,1433,13.1,41.8,129
64.4,44.5,4.66,8.28,6.1,19.8,29.7,866,8.43,13.6,37.5
33.4,19.5,7.77,22.9,15.8,34.3,46.6,349,2.69,11.1,2.71
65.5,17,1.2,209,49.6,32.8,44.1,368,16.1,75,111
35.9,26.9,1,237,17.8,18.1,36.2,626,12.7,18.9,32.5
34.3,21.7,4.57,66.7,16.8,94.7,264,2503,5.52,15.4,16.3
47.4,36.5,1.32,346,34.6,16.4,42.6,1104,20.4,48.7,107
72.3,50.9,3.52,145,24.4,17.8,29.4,437,6.21,27.9,85.8
64.4,51.9,61,155,64.4,37.5,51.9,542,34.6,111,279
35.2,34.3,8.28,449,50.9,40,62.1,382,3.31,18.3,38.5
93.9,60.4,24.1,26.7,20.9,36.5,64.9,382,8.51,39.2,44.1
98.2,74.3,3.37,284,57.8,21.5,46.1,813,12.1,31.3,35.2
90.6,64.9,1,172,13.2,50.9,55.7,483,10,51.9,64.9
36.2,16.3,8.82,30.5,9.91,61,88.2,583,6.49,23.7,41.4
101,74.3,4.41,5.83,7.5,48.3,70.4,407,7.84,12,1
32.8,24.4,1.18,87.4,36.8,17.8,48.7,1298,7.77,22.5,20
73,103,4.49,28.9,7.7,31.1,49.1,389,10.2,32.8,49.1
50,31.3,6.1,85.8,10.6,34.3,43.7,334,9.22,38.9,48.3
36.2,28.4,40.7,441,73,34.6,58.3,478,35.5,48.3,3.49
15.4,24.1,13.1,13.9,20.2,34.6,50.9,334,5.83,14.6,57.3
87.4,97.3,18.4,235,20.2,5.62,17.5,890,5.94,16,38.5
28.1,18.8,6.73,284,54.7,29.2,63.2,1346,7.17,17.9,26.9
24.4,21.5,1,170,46.6,21.7,28.6,365,4.41,12.3,18.1
32.8,25.9,10.8,160,22.5,41.8,59.4,500,7.17,25,37.9
16,2.74,3.59,101,25.9,41.8,60.4,250,8.58,28.9,29.2
30.5,16.1,8.51,11.1,13.6,13.7,34,588,6.79,16.8,36.2
84.3,64.4,13.2,269,37.9,6.98,40.7,403,10.5,25.7,38.9
61,43.3,7.17,183,30,41.8,74.3,1000,11.2,16.8,53.3
29.4,21.7,6.1,65.5,17.2,9.56,35.9,505,12.5,11.7,26.2
56.7,39.2,2.59,160,6.98,22.3,47.4,982,13.2,35.5,44.9
114,151,1,77,16.5,22.3,35.5,319,17.3,43.7,68.5
34.3,22.3,10.2,457,59.9,21.3,37.9,340,8.82,15.5,16
44.9,25,33.4,25.3,18.4,69.2,106,389,5.47,22.3,38.9
30.8,26.2,1.46,129,15.8,38.5,72.3,1420,5.57,16,22.9
33.7,24.8,14.2,300,54.2,50.5,78.4,382,5.14,17.3,34.9
109,77.7,10.6,10.8,5.23,61,129,2890,6.15,32.2,47.8
26.2,17.3,1.63,114,14.6,39.2,75.7,1596,5.78,23.7,53.3
40.3,30.2,7.04,24.1,6.67,7.5,19.3,352,5,25,49.1
31.1,23.1,52.3,750,237,16,58.3,552,8.51,30,40.7
93.1,53.8,5.73,160,40.7,50.9,95.6,1275,11,26.9,38.9
85.8,67.9,7.43,12.5,9.56,39.6,50.9,269,5.47,21.1,36.8
63.8,15.8,2.59,160,19.3,40.3,68.5,679,7.43,22.3,39.6
36.8,30.8,16,28.4,30.8,46.6,139,2091,6.26,20.9,22.9
29.2,23.3,1.79,500,73.7,55.7,105,1346,4,8.51,36.8
51.9,42.6,1.63,248,28.4,7.7,26.4,533,1,47.4,2.31
139,123,4.14,53.3,13.9,45.7,67.3,392,7.99,23.3,24.8
54.2,79.1,18.6,18.9,2.81,30.8,41.8,365,4.83,16.7,43.3
43.7,14.5,54.7,223,82,32.2,43.7,322,12.4,39.2,57.3
