Params, Params, Params, Params, DAG-1, DAG-1, DAG-1, DAG-5, DAG-5, DAG-5, DAG-7, DAG-7, DAG-7, DAG-17, DAG-17, DAG-17, DAG-19, DAG-19, DAG-19, DAG-23, DAG-23, DAG-23
params_index, intervention_targets, n_samples, rep, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3
0, [None,0], 50, 0, 0.271, 0.485, 0.535, 0.842, 0.109, 1.0, 0.271, 0.089, 0.168, 0.762, 0.155, 0.713, 0.089, 0.155, 0.564, 0.505, 0.624, 1.0
0, [None,0], 50, 1, 0.0, 0.644, 0.743, 0.218, 0.614, 0.02, 0.0, 0.733, 0.257, 0.02, 0.057, 0.584, 0.188, 0.057, 0.851, 0.02, 0.475, 0.02
0, [None,0], 50, 2, 0.026, 0.584, 0.921, 0.604, 0.713, 0.088, 0.026, 0.703, 0.376, 0.238, 0.086, 0.881, 0.04, 0.086, 0.921, 0.277, 0.653, 0.088
0, [None,0], 50, 3, 0.005, 0.792, 0.139, 0.673, 0.584, 0.009, 0.005, 0.515, 0.861, 0.713, 0.003, 0.109, 0.416, 0.003, 0.119, 0.673, 0.901, 0.009
0, [None,0], 50, 4, 0.0, 0.158, 0.663, 0.535, 0.248, 0.0, 0.0, 0.248, 0.188, 0.069, 0.0, 0.792, 0.624, 0.0, 0.653, 0.069, 0.446, 0.0
0, [None,0], 50, 5, 0.0, 0.099, 0.475, 0.267, 0.515, 0.07, 0.0, 0.505, 0.129, 0.02, 0.078, 0.05, 0.03, 0.078, 0.416, 0.03, 0.475, 0.07
0, [None,0], 50, 6, 0.001, 0.812, 0.634, 0.911, 0.881, 0.0, 0.001, 0.97, 0.436, 0.891, 0.029, 0.337, 0.297, 0.029, 0.525, 0.871, 0.921, 0.0
0, [None,0], 50, 7, 0.012, 0.743, 0.455, 0.673, 0.347, 0.032, 0.012, 0.406, 0.772, 0.079, 0.084, 0.465, 0.386, 0.084, 0.545, 0.079, 0.139, 0.032
0, [None,0], 50, 8, 0.0, 0.861, 0.723, 0.317, 0.436, 0.313, 0.0, 0.495, 0.149, 0.396, 0.061, 0.772, 0.238, 0.061, 0.772, 0.307, 0.644, 0.313
0, [None,0], 50, 9, 0.026, 0.436, 0.97, 0.505, 0.663, 0.132, 0.026, 0.525, 0.822, 0.891, 0.091, 0.782, 0.574, 0.091, 0.99, 0.861, 0.267, 0.132
0, [None,0], 50, 10, 0.123, 0.099, 0.089, 0.762, 0.455, 0.073, 0.123, 0.564, 0.574, 0.634, 0.131, 0.05, 0.446, 0.131, 0.069, 0.584, 0.594, 0.073
0, [None,0], 50, 11, 0.001, 0.099, 0.97, 0.495, 0.911, 0.018, 0.001, 0.931, 0.693, 0.158, 0.031, 0.832, 0.238, 0.031, 0.941, 0.139, 0.891, 0.018
0, [None,0], 50, 12, 0.0, 0.96, 0.95, 0.525, 0.792, 0.0, 0.0, 0.842, 0.832, 0.267, 0.002, 0.792, 0.099, 0.002, 0.921, 0.188, 0.861, 0.0
0, [None,0], 50, 13, 0.027, 0.752, 0.05, 0.307, 0.386, 1.0, 0.027, 0.396, 0.95, 0.089, 0.436, 0.465, 0.238, 0.436, 0.05, 0.069, 0.347, 1.0
0, [None,0], 50, 14, 0.814, 0.287, 0.822, 0.812, 0.594, 0.232, 0.814, 0.525, 0.703, 0.554, 0.68, 0.693, 0.238, 0.68, 0.901, 0.614, 0.733, 0.232
0, [None,0], 50, 15, 0.0, 0.307, 0.594, 0.01, 0.376, 0.0, 0.0, 0.455, 0.218, 0.386, 0.0, 0.743, 0.347, 0.0, 0.505, 0.347, 0.03, 0.0
0, [None,0], 50, 16, 0.12, 0.842, 0.683, 0.327, 0.594, 0.292, 0.12, 0.624, 0.426, 0.545, 1.0, 0.881, 0.772, 1.0, 0.703, 0.485, 0.96, 0.292
0, [None,0], 50, 17, 0.0, 0.257, 0.614, 0.465, 0.119, 0.0, 0.0, 0.139, 0.861, 0.059, 0.698, 0.04, 0.02, 0.698, 0.574, 0.04, 0.05, 0.0
0, [None,0], 50, 18, 0.0, 0.634, 0.416, 0.01, 0.149, 0.076, 0.0, 0.139, 0.277, 0.089, 0.0, 0.515, 0.505, 0.0, 0.376, 0.129, 0.01, 0.076
0, [None,0], 50, 19, 0.0, 0.248, 0.386, 0.01, 0.01, 0.002, 0.0, 0.02, 0.356, 0.01, 0.057, 0.069, 0.03, 0.057, 0.485, 0.01, 0.059, 0.002
0, [None,0], 100, 0, 0.219, 0.356, 0.059, 0.881, 0.465, 0.116, 0.219, 0.446, 0.178, 0.554, 0.517, 0.059, 0.861, 0.517, 0.079, 0.465, 0.653, 0.116
0, [None,0], 100, 1, 0.0, 0.347, 0.347, 0.386, 0.099, 0.0, 0.0, 0.05, 0.248, 0.01, 0.001, 0.149, 0.03, 0.001, 0.436, 0.01, 0.416, 0.0
0, [None,0], 100, 2, 0.0, 0.574, 0.327, 0.02, 0.822, 0.27, 0.0, 0.792, 0.455, 0.01, 0.199, 0.812, 0.02, 0.199, 0.337, 0.01, 0.693, 0.27
0, [None,0], 100, 3, 0.0, 0.475, 0.871, 0.624, 0.257, 0.0, 0.0, 0.287, 0.851, 0.772, 0.0, 0.901, 0.832, 0.0, 0.861, 0.743, 0.416, 0.0
0, [None,0], 100, 4, 0.0, 0.693, 0.832, 0.881, 0.485, 0.0, 0.0, 0.644, 0.832, 0.267, 0.0, 0.792, 0.673, 0.0, 0.792, 0.198, 0.95, 0.0
0, [None,0], 100, 5, 0.579, 0.416, 0.03, 0.287, 0.05, 0.25, 0.579, 0.05, 0.069, 0.079, 1.0, 0.119, 0.505, 1.0, 0.05, 0.109, 0.079, 0.25
0, [None,0], 100, 6, 0.0, 0.782, 0.089, 0.752, 0.426, 0.0, 0.0, 0.535, 0.683, 0.465, 0.223, 0.099, 0.079, 0.223, 0.059, 0.574, 0.574, 0.0
0, [None,0], 100, 7, 0.0, 0.564, 0.267, 0.842, 0.178, 0.0, 0.0, 0.149, 0.752, 0.703, 0.457, 0.01, 0.01, 0.457, 0.267, 0.743, 0.248, 0.0
0, [None,0], 100, 8, 0.048, 0.752, 0.277, 0.624, 0.812, 0.118, 0.048, 0.733, 0.584, 0.337, 0.731, 0.277, 0.079, 0.731, 0.307, 0.337, 0.446, 0.118
0, [None,0], 100, 9, 0.401, 0.842, 0.574, 0.396, 0.941, 1.0, 0.401, 0.921, 0.465, 0.743, 0.766, 0.911, 0.614, 0.766, 0.574, 0.683, 0.98, 1.0
0, [None,0], 100, 10, 0.041, 0.04, 0.178, 0.762, 0.851, 0.005, 0.041, 0.891, 0.03, 0.624, 0.006, 0.465, 0.644, 0.006, 0.307, 0.653, 0.931, 0.005
0, [None,0], 100, 11, 0.0, 0.139, 0.604, 0.772, 0.564, 0.0, 0.0, 0.703, 0.426, 0.545, 0.0, 0.198, 0.109, 0.0, 0.564, 0.426, 0.762, 0.0
0, [None,0], 100, 12, 0.0, 0.931, 0.109, 0.04, 0.446, 0.001, 0.0, 0.465, 0.871, 0.01, 0.014, 0.762, 0.059, 0.014, 0.129, 0.04, 0.713, 0.001
0, [None,0], 100, 13, 0.068, 0.564, 0.149, 0.337, 0.347, 0.229, 0.068, 0.347, 0.228, 0.079, 0.31, 0.733, 0.119, 0.31, 0.099, 0.168, 0.297, 0.229
0, [None,0], 100, 14, 0.242, 0.188, 0.089, 0.931, 0.802, 0.052, 0.242, 0.762, 0.158, 0.297, 0.355, 0.059, 0.475, 0.355, 0.079, 0.238, 0.842, 0.052
0, [None,0], 100, 15, 0.0, 0.307, 0.119, 0.208, 0.149, 0.023, 0.0, 0.089, 0.96, 0.129, 0.0, 0.832, 0.188, 0.0, 0.079, 0.178, 0.139, 0.023
0, [None,0], 100, 16, 0.0, 0.881, 0.594, 0.634, 0.228, 0.0, 0.0, 0.257, 0.842, 0.218, 0.0, 0.693, 0.495, 0.0, 0.465, 0.248, 0.495, 0.0
0, [None,0], 100, 17, 0.0, 0.644, 0.802, 0.436, 0.03, 0.0, 0.0, 0.04, 0.97, 0.03, 0.066, 0.05, 0.01, 0.066, 0.792, 0.03, 0.05, 0.0
0, [None,0], 100, 18, 0.0, 0.267, 0.178, 0.188, 0.02, 0.031, 0.0, 0.01, 0.98, 0.02, 0.0, 0.465, 0.327, 0.0, 0.208, 0.02, 0.218, 0.031
0, [None,0], 100, 19, 0.0, 0.634, 0.574, 0.079, 0.465, 0.001, 0.0, 0.495, 0.574, 0.05, 0.001, 0.495, 0.109, 0.001, 0.554, 0.03, 0.238, 0.001
0, [None,0], 200, 0, 0.0, 0.545, 0.257, 0.871, 0.168, 0.0, 0.0, 0.119, 0.842, 0.386, 0.0, 0.693, 0.574, 0.0, 0.218, 0.475, 0.693, 0.0
0, [None,0], 200, 1, 0.0, 0.327, 0.376, 0.891, 0.05, 0.0, 0.0, 0.079, 0.446, 0.149, 0.0, 0.139, 0.02, 0.0, 0.327, 0.208, 0.574, 0.0
0, [None,0], 200, 2, 0.0, 0.733, 0.05, 0.564, 0.069, 0.0, 0.0, 0.069, 0.644, 0.238, 0.0, 0.04, 0.554, 0.0, 0.04, 0.218, 0.109, 0.0
0, [None,0], 200, 3, 0.0, 0.911, 0.356, 0.198, 0.327, 0.001, 0.0, 0.267, 0.248, 0.614, 0.0, 0.693, 0.198, 0.0, 0.446, 0.574, 0.733, 0.001
0, [None,0], 200, 4, 0.0, 0.208, 0.871, 0.861, 0.376, 0.0, 0.0, 0.297, 0.495, 0.198, 0.0, 0.624, 0.287, 0.0, 0.851, 0.129, 0.673, 0.0
0, [None,0], 200, 5, 0.0, 0.416, 0.782, 0.208, 0.277, 0.0, 0.0, 0.238, 0.525, 0.01, 0.0, 0.099, 0.01, 0.0, 0.802, 0.01, 0.069, 0.0
0, [None,0], 200, 6, 0.014, 0.129, 0.01, 0.574, 0.465, 0.001, 0.014, 0.436, 0.554, 0.723, 1.0, 0.04, 0.119, 1.0, 0.01, 0.683, 0.188, 0.001
0, [None,0], 200, 7, 0.0, 0.475, 0.812, 0.832, 0.921, 0.0, 0.0, 0.941, 0.713, 0.713, 0.015, 0.01, 0.01, 0.015, 0.881, 0.703, 0.97, 0.0
0, [None,0], 200, 8, 0.007, 0.089, 0.178, 0.634, 0.04, 0.618, 0.007, 0.02, 0.604, 0.713, 0.11, 0.762, 0.05, 0.11, 0.139, 0.752, 0.436, 0.618
0, [None,0], 200, 9, 0.0, 0.921, 0.208, 0.109, 0.257, 0.0, 0.0, 0.257, 0.673, 0.069, 0.002, 0.01, 0.01, 0.002, 0.149, 0.02, 0.248, 0.0
0, [None,0], 200, 10, 0.0, 0.188, 0.901, 0.782, 0.822, 0.0, 0.0, 0.871, 0.327, 0.832, 0.0, 0.871, 0.356, 0.0, 0.822, 0.832, 0.931, 0.0
0, [None,0], 200, 11, 0.0, 0.941, 0.604, 0.663, 0.376, 0.0, 0.0, 0.386, 0.99, 0.634, 0.0, 0.059, 0.02, 0.0, 0.554, 0.653, 0.584, 0.0
0, [None,0], 200, 12, 0.0, 0.752, 0.267, 0.02, 0.941, 0.001, 0.0, 0.941, 0.911, 0.01, 0.005, 0.455, 0.02, 0.005, 0.426, 0.02, 0.842, 0.001
0, [None,0], 200, 13, 0.0, 0.119, 0.931, 0.208, 0.861, 0.012, 0.0, 0.891, 0.188, 0.04, 0.053, 0.347, 0.337, 0.053, 0.871, 0.03, 0.584, 0.012
0, [None,0], 200, 14, 0.0, 0.604, 0.604, 0.871, 0.158, 0.0, 0.0, 0.129, 0.545, 0.525, 0.0, 0.01, 0.01, 0.0, 0.644, 0.485, 0.317, 0.0
0, [None,0], 200, 15, 0.0, 0.198, 0.287, 0.624, 0.01, 0.0, 0.0, 0.02, 0.653, 0.861, 0.0, 0.158, 0.683, 0.0, 0.257, 0.871, 0.149, 0.0
0, [None,0], 200, 16, 0.0, 0.703, 0.941, 0.693, 0.307, 0.0, 0.0, 0.317, 0.97, 0.485, 0.0, 0.832, 0.594, 0.0, 0.98, 0.495, 0.327, 0.0
0, [None,0], 200, 17, 0.0, 0.188, 0.079, 0.01, 0.129, 0.261, 0.0, 0.277, 0.257, 0.01, 0.266, 0.812, 0.02, 0.266, 0.099, 0.01, 0.455, 0.261
0, [None,0], 200, 18, 0.0, 0.743, 0.673, 0.178, 0.099, 0.007, 0.0, 0.059, 0.188, 0.02, 0.0, 0.802, 0.366, 0.0, 0.673, 0.01, 0.188, 0.007
0, [None,0], 200, 19, 0.0, 0.208, 0.762, 0.149, 0.683, 0.0, 0.0, 0.752, 0.168, 0.099, 0.0, 0.059, 0.05, 0.0, 0.624, 0.069, 0.644, 0.0
1, [None,1], 50, 0, 1.0, 0.01, 0.069, 0.347, 0.01, 0.009, 1.0, 0.01, 0.05, 0.297, 0.0, 0.03, 0.277, 0.0, 0.04, 0.396, 0.01, 0.009
1, [None,1], 50, 1, 0.469, 0.01, 0.772, 0.257, 0.762, 0.0, 0.469, 0.832, 0.01, 0.04, 0.0, 0.851, 0.208, 0.0, 0.693, 0.03, 0.931, 0.0
1, [None,1], 50, 2, 1.0, 0.198, 0.366, 0.772, 0.178, 0.572, 1.0, 0.139, 0.455, 0.396, 0.472, 0.871, 0.277, 0.472, 0.495, 0.277, 0.327, 0.572
1, [None,1], 50, 3, 1.0, 0.04, 0.594, 0.624, 0.01, 1.0, 1.0, 0.02, 0.673, 0.03, 0.207, 0.653, 0.238, 0.207, 0.594, 0.03, 0.099, 1.0
1, [None,1], 50, 4, 0.882, 0.01, 0.455, 0.743, 0.02, 0.0, 0.882, 0.01, 0.01, 0.02, 0.0, 0.634, 0.059, 0.0, 0.574, 0.02, 0.089, 0.0
1, [None,1], 50, 5, 0.234, 0.02, 0.129, 0.693, 0.693, 0.003, 0.234, 0.713, 0.01, 0.535, 0.001, 0.455, 0.525, 0.001, 0.079, 0.604, 0.545, 0.003
1, [None,1], 50, 6, 1.0, 0.129, 0.168, 0.901, 0.01, 1.0, 1.0, 0.01, 0.861, 0.416, 0.034, 0.356, 0.327, 0.034, 0.109, 0.436, 0.01, 1.0
1, [None,1], 50, 7, 0.028, 0.277, 0.535, 0.703, 0.05, 0.069, 0.028, 0.01, 0.842, 0.733, 0.525, 0.02, 0.02, 0.525, 0.475, 0.772, 0.03, 0.069
1, [None,1], 50, 8, 1.0, 0.01, 0.129, 0.02, 0.05, 0.045, 1.0, 0.079, 0.02, 0.01, 0.0, 0.257, 0.257, 0.0, 0.178, 0.01, 0.089, 0.045
1, [None,1], 50, 9, 1.0, 0.386, 0.762, 0.307, 0.614, 0.175, 1.0, 0.505, 0.089, 0.525, 0.057, 0.475, 0.168, 0.057, 0.683, 0.554, 0.485, 0.175
1, [None,1], 50, 10, 0.367, 0.05, 0.921, 0.406, 0.871, 0.015, 0.367, 0.822, 0.287, 0.317, 0.004, 0.881, 0.446, 0.004, 0.941, 0.297, 0.842, 0.015
1, [None,1], 50, 11, 0.181, 0.02, 0.079, 0.792, 0.01, 0.143, 0.181, 0.01, 0.446, 0.05, 0.0, 0.04, 0.139, 0.0, 0.059, 0.03, 0.01, 0.143
1, [None,1], 50, 12, 0.69, 0.01, 0.842, 0.634, 0.446, 0.0, 0.69, 0.554, 0.01, 0.495, 0.0, 0.386, 0.059, 0.0, 0.851, 0.495, 0.455, 0.0
1, [None,1], 50, 13, 1.0, 0.01, 0.158, 0.376, 0.02, 0.132, 1.0, 0.02, 0.05, 0.05, 0.073, 0.366, 0.277, 0.073, 0.188, 0.02, 0.604, 0.132
1, [None,1], 50, 14, 0.708, 0.01, 0.02, 0.01, 0.01, 0.005, 0.708, 0.01, 0.02, 0.01, 0.0, 0.059, 0.01, 0.0, 0.02, 0.01, 0.03, 0.005
1, [None,1], 50, 15, 1.0, 0.01, 0.525, 0.99, 0.01, 0.143, 1.0, 0.01, 0.436, 0.871, 0.0, 0.614, 0.842, 0.0, 0.495, 0.921, 0.03, 0.143
1, [None,1], 50, 16, 1.0, 0.01, 0.436, 0.851, 0.01, 0.001, 1.0, 0.01, 0.059, 0.465, 0.0, 0.683, 0.257, 0.0, 0.495, 0.485, 0.079, 0.001
1, [None,1], 50, 17, 0.17, 0.01, 0.426, 0.554, 0.02, 0.074, 0.17, 0.02, 0.168, 0.762, 0.0, 0.644, 0.257, 0.0, 0.465, 0.634, 0.04, 0.074
1, [None,1], 50, 18, 0.088, 0.01, 0.119, 0.663, 0.01, 0.003, 0.088, 0.01, 0.099, 0.01, 0.0, 0.713, 0.178, 0.0, 0.198, 0.01, 0.069, 0.003
1, [None,1], 50, 19, 1.0, 0.01, 0.515, 0.079, 0.762, 0.0, 1.0, 0.851, 0.01, 0.079, 0.0, 0.653, 0.079, 0.0, 0.574, 0.059, 0.802, 0.0
1, [None,1], 100, 0, 1.0, 0.01, 0.901, 0.574, 0.01, 0.0, 1.0, 0.01, 0.01, 0.02, 0.0, 0.228, 0.109, 0.0, 0.802, 0.059, 0.04, 0.0
1, [None,1], 100, 1, 0.297, 0.01, 0.257, 0.515, 0.525, 0.0, 0.297, 0.594, 0.01, 0.703, 0.0, 0.406, 0.772, 0.0, 0.267, 0.752, 0.564, 0.0
1, [None,1], 100, 2, 1.0, 0.693, 0.594, 0.98, 0.822, 0.318, 1.0, 0.851, 0.802, 0.624, 0.133, 0.119, 0.406, 0.133, 0.584, 0.594, 0.941, 0.318
1, [None,1], 100, 3, 0.039, 0.03, 0.188, 0.574, 0.01, 0.059, 0.039, 0.01, 0.802, 0.01, 0.0, 0.465, 0.158, 0.0, 0.158, 0.01, 0.02, 0.059
1, [None,1], 100, 4, 1.0, 0.01, 0.525, 0.436, 0.03, 0.0, 1.0, 0.03, 0.01, 0.228, 0.0, 0.238, 0.485, 0.0, 0.564, 0.178, 0.366, 0.0
1, [None,1], 100, 5, 0.271, 0.01, 0.802, 0.525, 0.554, 0.153, 0.271, 0.535, 0.149, 0.683, 0.026, 0.772, 0.505, 0.026, 0.782, 0.663, 0.475, 0.153
1, [None,1], 100, 6, 0.301, 0.02, 0.099, 0.931, 0.01, 0.229, 0.301, 0.01, 0.693, 0.554, 0.007, 0.277, 0.198, 0.007, 0.109, 0.465, 0.03, 0.229
1, [None,1], 100, 7, 0.45, 0.04, 0.723, 0.396, 0.03, 0.107, 0.45, 0.03, 0.02, 0.287, 0.0, 0.307, 0.475, 0.0, 0.723, 0.158, 0.05, 0.107
1, [None,1], 100, 8, 1.0, 0.01, 0.713, 0.099, 0.02, 0.0, 1.0, 0.01, 0.01, 0.386, 0.0, 0.366, 0.297, 0.0, 0.772, 0.416, 0.02, 0.0
1, [None,1], 100, 9, 1.0, 0.535, 0.832, 0.158, 0.772, 0.23, 1.0, 0.842, 0.505, 0.396, 0.191, 0.871, 0.307, 0.191, 0.822, 0.366, 0.822, 0.23
1, [None,1], 100, 10, 0.265, 0.436, 0.297, 0.584, 0.287, 0.001, 0.265, 0.297, 0.297, 0.426, 0.001, 0.208, 0.089, 0.001, 0.386, 0.386, 0.386, 0.001
1, [None,1], 100, 11, 0.185, 0.01, 0.554, 0.01, 0.01, 0.446, 0.185, 0.01, 0.901, 0.01, 0.0, 0.168, 0.693, 0.0, 0.525, 0.01, 0.01, 0.446
1, [None,1], 100, 12, 0.332, 0.01, 0.594, 0.317, 0.871, 0.012, 0.332, 0.871, 0.01, 0.257, 0.086, 0.455, 0.109, 0.086, 0.564, 0.317, 0.851, 0.012
1, [None,1], 100, 13, 0.068, 0.079, 0.673, 0.099, 0.257, 0.0, 0.068, 0.277, 0.109, 0.069, 0.0, 0.475, 0.584, 0.0, 0.604, 0.059, 0.604, 0.0
1, [None,1], 100, 14, 1.0, 0.01, 0.02, 0.01, 0.01, 0.0, 1.0, 0.01, 0.02, 0.01, 0.0, 0.178, 0.149, 0.0, 0.02, 0.01, 0.01, 0.0
1, [None,1], 100, 15, 1.0, 0.01, 0.218, 0.525, 0.01, 0.015, 1.0, 0.01, 0.416, 0.119, 0.0, 0.426, 0.356, 0.0, 0.109, 0.139, 0.01, 0.015
1, [None,1], 100, 16, 0.293, 0.01, 0.119, 0.851, 0.01, 0.0, 0.293, 0.01, 0.04, 0.743, 0.0, 0.396, 0.891, 0.0, 0.119, 0.693, 0.01, 0.0
1, [None,1], 100, 17, 0.625, 0.01, 0.574, 0.535, 0.01, 0.36, 0.625, 0.01, 0.089, 0.01, 0.03, 0.752, 0.188, 0.03, 0.604, 0.01, 0.594, 0.36
1, [None,1], 100, 18, 0.161, 0.01, 0.644, 0.287, 0.01, 0.006, 0.161, 0.01, 0.02, 0.01, 0.0, 0.436, 0.198, 0.0, 0.653, 0.01, 0.02, 0.006
1, [None,1], 100, 19, 1.0, 0.01, 0.238, 0.604, 0.069, 0.009, 1.0, 0.02, 0.03, 0.03, 0.0, 0.347, 0.267, 0.0, 0.297, 0.04, 0.01, 0.009
1, [None,1], 200, 0, 1.0, 0.01, 0.495, 0.584, 0.01, 0.0, 1.0, 0.01, 0.01, 0.059, 0.0, 0.05, 0.238, 0.0, 0.455, 0.099, 0.059, 0.0
1, [None,1], 200, 1, 0.723, 0.01, 0.812, 0.653, 0.109, 0.0, 0.723, 0.099, 0.01, 0.426, 0.0, 0.347, 0.515, 0.0, 0.703, 0.376, 0.198, 0.0
1, [None,1], 200, 2, 0.547, 0.01, 0.554, 0.832, 0.366, 0.0, 0.547, 0.307, 0.01, 0.941, 0.0, 0.188, 0.307, 0.0, 0.772, 0.96, 0.406, 0.0
1, [None,1], 200, 3, 0.172, 0.01, 0.218, 0.01, 0.01, 0.0, 0.172, 0.01, 0.01, 0.01, 0.0, 0.099, 0.109, 0.0, 0.178, 0.01, 0.01, 0.0
1, [None,1], 200, 4, 1.0, 0.01, 0.307, 0.158, 0.079, 0.0, 1.0, 0.129, 0.01, 0.139, 0.0, 0.109, 0.752, 0.0, 0.248, 0.079, 0.356, 0.0
1, [None,1], 200, 5, 0.237, 0.01, 0.495, 0.257, 0.01, 0.0, 0.237, 0.01, 0.01, 0.99, 0.0, 0.208, 0.772, 0.0, 0.366, 0.97, 0.02, 0.0
1, [None,1], 200, 6, 0.026, 0.079, 0.416, 0.723, 0.812, 0.093, 0.026, 0.792, 0.267, 0.792, 0.236, 0.05, 0.05, 0.236, 0.376, 0.881, 0.792, 0.093
1, [None,1], 200, 7, 0.844, 0.01, 0.505, 0.02, 0.01, 0.372, 0.844, 0.01, 0.03, 0.713, 0.0, 0.099, 0.109, 0.0, 0.535, 0.762, 0.01, 0.372
1, [None,1], 200, 8, 0.024, 0.01, 0.099, 0.782, 0.03, 0.0, 0.024, 0.02, 0.01, 0.208, 0.0, 0.426, 0.119, 0.0, 0.109, 0.228, 0.356, 0.0
1, [None,1], 200, 9, 1.0, 0.01, 0.723, 0.03, 0.01, 0.001, 1.0, 0.01, 0.01, 0.04, 0.0, 0.287, 0.436, 0.0, 0.752, 0.059, 0.059, 0.001
1, [None,1], 200, 10, 0.332, 0.01, 0.465, 0.723, 0.01, 0.001, 0.332, 0.01, 0.109, 0.099, 0.0, 0.287, 0.01, 0.0, 0.495, 0.158, 0.703, 0.001
1, [None,1], 200, 11, 0.115, 0.01, 0.485, 0.376, 0.01, 0.684, 0.115, 0.01, 0.653, 0.01, 0.0, 0.099, 0.149, 0.0, 0.535, 0.01, 0.01, 0.684
1, [None,1], 200, 12, 0.319, 0.01, 0.218, 0.475, 0.248, 0.0, 0.319, 0.248, 0.01, 0.208, 0.0, 0.089, 0.277, 0.0, 0.257, 0.356, 0.485, 0.0
1, [None,1], 200, 13, 0.777, 0.01, 0.317, 0.356, 0.01, 0.0, 0.777, 0.01, 0.01, 0.04, 0.0, 0.238, 0.426, 0.0, 0.198, 0.04, 0.248, 0.0
1, [None,1], 200, 14, 0.252, 0.01, 0.02, 0.01, 0.01, 0.011, 0.252, 0.01, 0.356, 0.02, 0.0, 0.198, 0.782, 0.0, 0.01, 0.01, 0.168, 0.011
1, [None,1], 200, 15, 0.755, 0.01, 0.406, 0.218, 0.01, 0.0, 0.755, 0.01, 0.01, 0.01, 0.0, 0.683, 0.772, 0.0, 0.327, 0.01, 0.01, 0.0
1, [None,1], 200, 16, 0.0, 0.01, 0.673, 0.327, 0.337, 0.0, 0.0, 0.287, 0.01, 0.366, 0.0, 0.604, 0.743, 0.0, 0.634, 0.337, 0.297, 0.0
1, [None,1], 200, 17, 0.26, 0.01, 0.752, 0.99, 0.079, 0.276, 0.26, 0.099, 0.703, 0.01, 0.0, 0.782, 0.248, 0.0, 0.792, 0.01, 0.465, 0.276
